0.32,0.01,-7.93,0,0,-0
0.3,-0,-7.97,0.0002,0.006,-0
0.28,-0.01,-8.08,-0.0002,0.0114,-0
0.27,0,-8.2,-0.0002,0.0158,-0
0.25,0.01,-8.29,-0.0002,0.0196,-0.0002
0.22,-0.02,-8.43,-0.0004,0.0222,-0
0.2,-0.02,-8.53,-0.0006,0.0242,-0
0.18,0,-8.66,-0.0006,0.025,-0.0002
0.16,0,-8.78,-0.0006,0.025,-0.0002
0.13,0.01,-8.91,-0.0008,0.0242,0
0.11,-0,-9.01,-0.001,0.0222,-0.0002
0.09,-0.02,-9.15,-0.001,0.0196,-0
0.08,0,-9.27,-0.0012,0.0158,-0.0002
0.07,-0,-9.35,-0.0014,0.0116,-0
0.05,-0,-9.48,-0.0014,0.0064,-0.0002
0.04,-0.01,-9.59,-0.0014,0.0006,-0.0002
0.04,-0.03,-9.7,-0.0018,-0.0054,-0.0002
0.04,-0.01,-9.79,-0.0018,-0.0124,-0.0002
0.05,-0.01,-9.92,-0.0018,-0.0196,-0.0002
0.03,-0,-9.96,-0.002,-0.027,-0.0002
0.06,-0,-10.05,-0.0018,-0.035,-0.0002
0.04,-0.01,-10.13,-0.0022,-0.0426,-0.0004
0.01,-0,-10.2,-0.002,-0.0508,-0.0002
0.03,-0.01,-10.26,-0.002,-0.0584,-0.0002
0.03,-0.02,-10.34,-0.0022,-0.0664,-0.0004
0.05,-0,-10.37,-0.0022,-0.074,-0.0004
0.04,0,-10.42,-0.002,-0.081,-0.0004
0.05,0.02,-10.43,-0.002,-0.0882,-0.0004
0.06,0,-10.49,-0.0022,-0.0946,-0.0004
0.08,-0,-10.51,-0.0018,-0.1008,-0.0004
0.07,-0,-10.52,-0.002,-0.106,-0.0006
0.08,0,-10.53,-0.0018,-0.1112,-0.0006
0.11,-0,-10.54,-0.0016,-0.1152,-0.0006
0.11,-0,-10.53,-0.0016,-0.119,-0.0006
0.13,-0,-10.54,-0.0016,-0.122,-0.0008
0.13,0,-10.53,-0.0014,-0.1242,-0.0008
0.14,-0,-10.5,-0.0012,-0.1256,-0.0008
0.17,-0.01,-10.51,-0.001,-0.1264,-0.0008
0.17,-0.01,-10.48,-0.001,-0.1266,-0.001
0.17,-0.01,-10.45,-0.001,-0.1258,-0.001
0.17,0.01,-10.43,-0.0006,-0.1246,-0.0012
0.2,0.01,-10.4,-0.0004,-0.1224,-0.001
0.2,-0.01,-10.38,-0.0004,-0.1196,-0.0014
0.23,0,-10.33,-0,-0.1164,-0.0012
0.22,-0.02,-10.3,-0,-0.1124,-0.0012
0.22,0,-10.27,0.0002,-0.1078,-0.0016
0.22,0,-10.24,0.0004,-0.1028,-0.0014
0.23,0.01,-10.2,0.0006,-0.0974,-0.0014
0.24,-0.02,-10.17,0.0006,-0.0912,-0.0016
0.24,-0.01,-10.17,0.001,-0.0852,-0.0018
0.24,-0.02,-10.1,0.001,-0.0782,-0.0018
0.24,-0,-10.06,0.0014,-0.0714,-0.0018
0.23,0,-10.06,0.0014,-0.0642,-0.0018
0.25,0,-10.02,0.0014,-0.0568,-0.002
0.24,0,-9.99,0.0016,-0.0496,-0.002
0.23,-0.02,-9.96,0.0018,-0.0418,-0.002
0.25,0.01,-9.95,0.002,-0.0344,-0.0022
0.23,-0,-9.9,0.002,-0.027,-0.0022
0.23,-0.01,-9.87,0.0022,-0.0194,-0.0024
0.24,-0.01,-9.86,0.0022,-0.0122,-0.0024
0.22,-0.01,-9.82,0.0022,-0.005,-0.0024
0.21,-0.02,-9.82,0.0024,0.0018,-0.0024
0.2,-0.01,-9.8,0.0024,0.0086,-0.0026
0.18,0,-9.77,0.0026,0.015,-0.0026
0.19,0.02,-9.76,0.0024,0.021,-0.0026
0.19,-0.02,-9.77,0.0026,0.0268,-0.0028
0.17,0,-9.75,0.0026,0.032,-0.0028
0.17,-0.02,-9.75,0.0026,0.0372,-0.0028
0.19,0,-9.73,0.0024,0.0418,-0.003
0.17,0,-9.73,0.0026,0.046,-0.0032
0.17,-0.01,-9.73,0.0024,0.0498,-0.003
0.18,-0,-9.7,0.0026,0.0532,-0.003
0.16,-0.01,-9.74,0.0022,0.056,-0.0032
0.18,-0.01,-9.71,0.0024,0.0586,-0.0032
0.14,0.01,-9.71,0.0024,0.0606,-0.0034
0.15,-0.03,-9.72,0.0022,0.0624,-0.0034
0.14,-0.01,-9.72,0.0022,0.0636,-0.0032
0.14,-0.01,-9.72,0.002,0.0646,-0.0036
0.15,-0,-9.72,0.002,0.065,-0.0034
0.15,-0.01,-9.72,0.0018,0.0652,-0.0036
0.14,-0.01,-9.71,0.0018,0.065,-0.0036
0.14,-0.01,-9.71,0.0016,0.0644,-0.0038
0.15,-0.01,-9.69,0.0016,0.0636,-0.0038
0.15,-0,-9.72,0.0014,0.0624,-0.0038
0.15,-0.01,-9.71,0.0012,0.0612,-0.0038
0.13,-0.02,-9.72,0.0012,0.0594,-0.004
0.15,-0,-9.69,0.001,0.0576,-0.004
0.16,-0.03,-9.72,0.0008,0.0556,-0.004
0.15,-0.01,-9.71,0.0008,0.0532,-0.0042
0.16,-0.02,-9.73,0.0006,0.051,-0.004
0.16,-0.02,-9.7,0.0004,0.0486,-0.0042
0.17,-0.02,-9.73,0.0004,0.0458,-0.0042
0.17,-0.01,-9.7,0.0002,0.0432,-0.0044
0.18,-0,-9.72,-0,0.0404,-0.0042
0.17,-0.01,-9.72,-0,0.0376,-0.0044
