0.93,0.1,-0.02,-9.73,-0.0002,0.0424,0.0024
0.94,0.1,-0.02,-9.75,-0,0.0398,0.0022
0.95,0.08,-0.02,-9.74,-0.0002,0.0368,0.0026
0.96,0.09,-0,-9.75,-0.0002,0.034,0.0026
0.97,0.11,-0.01,-9.75,-0,0.0312,0.0028
0.98,0.12,-0.02,-9.73,-0,0.0284,0.0028
0.99,0.11,-0.02,-9.74,-0.0002,0.0256,0.003
1,0.12,-0.02,-9.74,-0.0002,0.023,0.0032
1.01,0.12,-0.01,-9.75,-0.0002,0.0202,0.0034
1.02,0.13,-0.01,-9.73,-0.0002,0.0176,0.0034
1.03,0.12,-0.02,-9.73,-0,0.0152,0.0036
1.04,0.15,-0.01,-9.75,-0.0002,0.0126,0.004
1.05,0.16,-0.02,-9.74,-0.0002,0.0104,0.004
1.06,0.16,0,-9.71,-0.0002,0.0082,0.0042
1.07,0.16,-0.01,-9.74,-0,0.0062,0.0044
1.08,0.17,-0.02,-9.73,-0.0004,0.004,0.0046
1.09,0.2,-0.01,-9.71,-0.0002,0.0024,0.0048
1.1,0.19,-0.03,-9.74,-0.0002,0.0006,0.005
1.11,0.19,-0.03,-9.74,-0.0002,-0.0012,0.0052
1.12,0.2,-0.02,-9.73,-0.0002,-0.0026,0.0054
1.13,0.19,-0.01,-9.73,-0.0002,-0.0038,0.0058
1.14,0.19,-0.02,-9.74,-0.0002,-0.0052,0.0058
1.15,0.21,-0.01,-9.72,-0.0002,-0.0062,0.0062
1.16,0.21,-0.01,-9.73,-0.0002,-0.0072,0.0064
1.17,0.21,-0.01,-9.73,-0.0002,-0.0082,0.0066
1.18,0.22,-0.02,-9.74,-0.0002,-0.0088,0.007
1.19,0.25,-0.02,-9.73,-0.0002,-0.0096,0.0072
1.2,0.24,-0.02,-9.75,-0.0002,-0.01,0.0074
1.21,0.23,-0,-9.74,-0.0002,-0.0106,0.0078
1.22,0.23,-0.02,-9.75,-0.0002,-0.011,0.008
1.23,0.24,-0.03,-9.76,-0.0002,-0.0114,0.0082
1.24,0.25,-0,-9.75,-0.0004,-0.0114,0.0086
1.25,0.23,-0.02,-9.75,-0.0002,-0.0116,0.009
1.26,0.24,-0,-9.75,-0.0002,-0.0116,0.0092
1.27,0.24,-0.04,-9.77,-0.0002,-0.0116,0.0096
1.28,0.25,-0.02,-9.76,-0.0002,-0.0118,0.0098
1.29,0.26,0.01,-9.75,-0.0002,-0.0116,0.0102
